"Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Indicator","Rank","Category_11","Category_12","Category_13","Category_14","Category_15","Category_21","Category_22","Category_23","Category_24","Category_25","Category_31","Category_32","Category_33","Category_34","New1","New2","New3","New4","New5","keyN"
"DB","Dealing with Construction Permits  Liability and insurance regimes index 02 DB1618 methodology","Total","Dealing with Construction Permits  Liability and insurance regimes index 02 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Dealing with Construction Permits  Quality control after construction index 03 DB1618 methodology","Total","Dealing with Construction Permits  Quality control after construction index 03 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Dealing with Construction Permits  Quality control during construction index 03 DB1618 methodology","Total","Dealing with Construction Permits  Quality control during construction index 03 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Dealing with Construction Permits  Quality control before construction index 01 DB1618 methodology","Total","Dealing with Construction Permits  Quality control before construction index 01 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Dealing with Construction Permits  Quality of building regulations index 02 DB1618 methodology","Total","Dealing with Construction Permits  Quality of building regulations index 02 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Dealing with Construction Permits  Building quality control index 015 
DB1618 methodology","Total","Dealing with Construction Permits  Building quality control index 015 
DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Dealing with Construction Permits  Cost % of Warehouse value","Total","Dealing with Construction Permits  Cost % of Warehouse value","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Dealing with Construction Permits  Time days","Total","Dealing with Construction Permits  Time days","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Dealing with Construction Permits  Procedures number","Total","Dealing with Construction Permits  Procedures number","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Dealing with Construction Permits  DTF  Dealing with construction permits
DB0615 methodology","Total","Dealing with Construction Permits  DTF  Dealing with construction permits
DB0615 methodology","","","","","","","","","","","","","","","","","","","","","","",""
